title,release_year,price,description,imdb_id,poster_url,image_url
The Godfather,1972,24.99,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.,tt0068646,http://www.media-imdb.com/title/tt0068646/mediaviewer/rm3213449472,rm3213449472.jpg
Wild Strawberries,1957,20.99,"After living a life marked by coldness, an aging professor is forced to confront the emptiness of his existence.",tt0050986,http://www.imdb.com/title/tt0050986/mediaviewer/rm385270528,rm385270528.jpg
The Shawshank Redemption,1994,26.99,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.",tt0111161,http://www.imdb.com/title/tt0111161/mediaviewer/rm10105600,rm10105600.jpg
One Flew Over the Cuckoo's Nest,1975,22.99,"Upon admittance to a mental institution, a brash rebel rallies the patients to take on the oppressive head nurse.",tt0073486,http://www.imdb.com/title/tt0073486/mediaviewer/rm2186479360,rm2186479360.jpg
The Dark Knight,2008,14.99,"When Batman, Gordon and Harvey Dent launch an assault on the mob, they let the clown out of the box, the Joker, bent on turning Gotham on itself and bringing any heroes down to his level.",tt0468569,http://www.imdb.com/title/tt0468569/mediaviewer/rm4023877632,rm4023877632.jpg
It's a Wonderful Life,1946,15.99,An angel helps a compassionate but despairingly frustrated businessman by showing what life would have been like if he never existed.,tt0038650,http://www.imdb.com/title/tt0038650/mediaviewer/rm3862243328,rm3862243328.jpg
Kill Bill,2003,13.99,The Bride wakens from a four-year coma. The child she carried in her womb is gone. Now she must wreak vengeance on the team of assassins who betrayed her - a team she was once part of.,tt0266697,http://www.imdb.com/title/tt0266697/mediaviewer/rm3193577984,rm3193577984.jpg
Seven Samurai,1954,19.99,A poor village under attack by bandits recruits seven unemployed samurai to help them defend themselves.,tt0047478,http://www.imdb.com/title/tt0047478/mediaviewer/rm1329266176,rm1329266176.jpg
Apocalypse Now,1979,24.99,"During the U.S.-Viet Nam War, Captain Willard is sent on a dangerous mission into Cambodia to assassinate a renegade colonel who has set himself up as a god among a local tribe.",tt0078788,http://www.imdb.com/title/tt0078788/mediaviewer/rm418723584,rm418723584.jpg
Blood Diamond,2006,17.99,"A fisherman, a smuggler, and a syndicate of businessmen match wits over the possession of a priceless diamond.",tt0450259,http://www.imdb.com/title/tt0450259/mediaviewer/rm3284992512,rm3284992512.jpg
Modern Times,1936,13.99,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,tt0027977,http://www.imdb.com/title/tt0027977/mediaviewer/rm1482701312,rm1482701312.jpg
A Beautiful Mind,2001,22.99,"After a brilliant but asocial mathematician accepts secret work in cryptography, his life takes a turn for the nightmarish.",tt0268978,http://www.imdb.com/title/tt0268978/mediaviewer/rm3910404352,rm3910404352.jpg
